SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,Crustal_Thickness
56.41,0.7,18.52,7.58,0.18,3.72,8.63,3.2,0.91,0.14,9.661,22.31,2.915,12.64,3.172,1.026,3.373,0.546,3.469,0.73,2.171,0.337,2.266,0.374,295.5,19.81,20.15,156.6,2.336,2.304,0.206,2.556,22.74
56.48,0.67,18.64,7.71,0.18,4,8.32,3.1,0.75,0.14,8.473,18.53,2.486,10.98,2.737,0.936,3.021,0.498,3.094,0.663,1.942,0.298,2.122,0.345,289,18.84,17.3,158.5,2.136,1.992,0.171,1.961,22.74
57.17,1.16,16.86,6.29,0.11,4.57,9.01,3.99,0.63,0.21,11,22.4,2.89,13.3,3.58,1.19,3.82,0.66,4.12,0.84,2.31,0.32,1.99,0.3,341,20.9,20.6,408,2.77,5.88,0.4,1.72,22.75
61.99,0.5,17.58,5.8,0.15,2.25,7.12,3.32,1.18,0.11,9.596,19.28,2.454,10.05,2.347,0.816,2.446,0.406,2.506,0.54,1.584,0.247,1.794,0.303,258.3,15.38,27.37,197.9,2.314,2.126,0.214,3.203,22.78
62.33,0.54,16.71,6.36,0.17,2.79,6.56,3.2,1.22,0.13,10.27,20.34,2.514,10.43,2.433,0.798,2.503,0.414,2.596,0.564,1.663,0.264,1.902,0.321,253.2,16.76,31.97,206.3,2.391,2.236,0.216,3.257,22.78
55.61,0.66,19.02,8.26,0.16,3.55,7.9,3.51,1.24,0.08,6.73,15.81,2.02,9.15,2.46,0.76,2.89,0.5,3.12,0.69,2.02,0.32,2.09,0.33,215,18.5,30.6,157,1.81,2.2,0.19,2.16,22.79
57.12,0.6,17.16,7.36,0.18,5.53,8.14,2.99,0.77,0.15,8.815,19.47,2.505,10.78,2.717,0.879,2.814,0.462,2.931,0.617,1.808,0.282,1.972,0.326,240.3,17.21,19.08,149.8,2.212,2.112,0.193,2.494,22.82
64.54,0.4,17.01,4.93,0.14,2.01,5.91,3.65,1.28,0.13,10.68,22.21,2.702,10.65,2.329,0.806,2.25,0.372,2.29,0.495,1.486,0.236,1.746,0.299,279.5,15.04,31.31,218.3,2.42,2.299,0.227,3.093,22.91
61.31,0.5,17.5,6.16,0.16,2.76,7.03,3.35,1.09,0.14,9.165,19.65,2.42,10.16,2.355,0.813,2.331,0.38,2.396,0.506,1.551,0.24,1.725,0.296,279.7,15.93,24.57,181.6,2.142,2.11,0.19,2.47,22.93
60.01,0.71,17.9,5.61,0.1,3.49,6.4,4.37,1.22,0.19,10.01,20.63,2.6,11.36,2.82,1.01,2.76,0.45,2.77,0.57,1.6,0.24,1.5,0.24,542,14,17,456,3.06,4,0.24,1.59,23
59.42,0.67,17.99,5.8,0.11,3.65,6.64,4.36,1.19,0.18,9.73,20.16,2.55,11.23,2.88,0.95,2.81,0.46,2.81,0.58,1.62,0.24,1.5,0.24,537,16,16,468,2.83,4,0.21,1.45,23
59.44,0.67,18.01,5.76,0.11,3.64,6.64,4.37,1.18,0.18,9.95,20.65,2.63,11.54,2.92,0.99,2.88,0.47,2.9,0.6,1.69,0.24,1.54,0.25,538,15,16,462,2.87,3,0.21,1.47,23
59.32,0.68,17.98,5.84,0.11,3.72,6.67,4.33,1.18,0.18,9.66,19.92,2.51,11.07,2.81,0.97,2.74,0.46,2.79,0.58,1.59,0.24,1.49,0.24,555,16,16,454,2.9,4,0.22,1.43,23
59.51,0.67,17.89,5.81,0.11,3.72,6.68,4.28,1.15,0.18,9.55,19.82,2.52,10.94,2.84,0.93,2.74,0.45,2.79,0.58,1.59,0.23,1.48,0.23,546,15,15,439,2.76,4,0.2,1.43,23
58.91,0.76,17.61,6.19,0.12,3.91,6.85,4.23,1.19,0.23,10.86,22.88,2.91,12.79,3.21,1.06,3.13,0.51,3.05,0.65,1.73,0.26,1.6,0.26,568,15,16,459,3.07,4,0.24,1.56,23
58.6,0.77,17.72,6.16,0.12,3.95,6.98,4.3,1.19,0.21,10.87,22.82,2.92,12.92,3.25,1.07,3.09,0.51,3.08,0.64,1.76,0.26,1.62,0.26,568,17,15,450,2.94,4,0.22,1.47,23
58.69,0.77,17.47,6.25,0.12,4.09,7,4.24,1.17,0.21,10.95,23.12,2.95,13.06,3.36,1.06,3.18,0.52,3.18,0.66,1.79,0.26,1.66,0.27,562,16,16,438,3.01,4,0.24,1.54,23
56.83,0.75,17.27,6.56,0.12,5.67,7.75,3.89,0.95,0.22,10.25,22.25,2.77,12.43,3.19,1.04,2.98,0.49,3.02,0.61,1.67,0.24,1.54,0.24,614,16,11,375,2.68,6,0.26,1.32,23
58.21,0.77,19.12,4.67,0.1,1.56,3.72,4.54,7.01,0.29,48.73,95.89,11.12,39.37,6.88,2.05,5.14,0.77,3.93,0.79,2.2,0.3,2.03,0.33,681.18,23.93,274.52,737.54,5.35,24.64,1.63,17.69,23.05
61.43,0.6,18.09,4.89,0.09,2.76,5.75,4.82,1.38,0.19,11.2,23.7,2.86,12.2,2.95,0.95,2.74,0.44,2.7,0.57,1.53,0.23,1.44,0.24,578,15.5,19.4,525,3.12,3.04,0.22,1.7,23.07
61.25,0.61,18.08,5.04,0.1,2.79,5.72,4.8,1.4,0.2,12.5,25.5,3.17,13.5,3.22,1,2.92,0.46,2.9,0.59,1.6,0.24,1.53,0.25,627,15.8,21.2,548,3.31,3.21,0.23,1.8,23.07
61.57,0.63,18,4.95,0.09,2.79,5.8,4.6,1.39,0.19,13.1,26.8,3.32,14.2,3.29,1.07,3.01,0.5,3.05,0.62,1.71,0.25,1.65,0.27,602,16.6,23.5,553,3.39,3.59,0.26,2,23.07
61.2,0.65,17.69,5.3,0.12,2.86,5.95,4.63,1.38,0.23,13,26.6,3.32,14.2,3.39,1.08,3.2,0.53,3.15,0.65,1.85,0.27,1.74,0.28,580,18.1,24.3,510,3.55,3.52,0.27,2,23.07
61.09,0.63,17.7,5.3,0.11,2.85,6.01,4.72,1.38,0.21,12.8,26.5,3.26,14.2,3.39,1.05,3.13,0.52,3.17,0.66,1.85,0.27,1.73,0.28,544,17.9,22.3,507,3.47,3.62,0.27,2,23.07
