SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,Crustal_Thickness
56.07,0.8,18.27,8.65,0.17,4.19,8.08,3.07,0.55,0.15,8.13255,16.4784,2.39968,11.4869,3.42079,1.08395,3.8347,0.667938,4.34877,0.927217,2.64197,0.374961,2.41587,0.387114,305.3,25.8899,3.36087,296.728,2.35092,2.11309,0.14457,1.47514,30.83
72.39,0.35,14.37,2.55,0.08,0.33,1.75,4.49,3.63,0.06,22.0281,46.4216,5.86781,25.255,6.89418,1.09105,6.96309,1.25021,8.17787,1.7298,4.97628,0.774721,4.9666,0.813788,113.554,48.1842,84.8584,862.444,8.66511,7.96212,0.60086,8.20877,31.02
67.66,0.52,15.72,4.17,0.12,1.19,3.42,4.18,2.92,0.1,19.8023,41.5644,5.25159,23.1327,6.28935,1.22559,6.46217,1.15238,7.51526,1.589,4.60525,0.702798,4.55924,0.729132,165.163,43.7457,72.7298,779.958,7.44813,7.08473,0.507422,7.02729,31.02
74.28,0.26,13.52,1.93,0.09,0.22,1.13,4.64,3.9,0.03,21.97,45.99,5.75,24.81,6.78,0.97,6.78,1.23,7.92,1.71,4.91,0.75,4.91,0.8,94.5,44.79,85.31,874.2,6.4,7.9,0.61,8.62,31.02
60.45,0.52,21.03,4.1,0.09,1.38,7.94,3.39,0.92,0.16,9.45,21.8,2.74,12,2.79,0.979,2.85,0.496,2.91,0.615,1.7,0.243,1.77,0.257,383,17.8,24.3,227,2.02,2.78,0.201,2.2,31.08
65.35,0.52,17.05,4.85,0.12,1.64,5.87,3.29,1.15,0.16,16.9,36.8,4.43,18.8,3.76,1.1,3.51,0.533,3.13,0.6,1.46,0.234,1.57,0.203,414,18.8,33.3,393,2.97,4.43,0.26,1.9,31.08
59.02,0.65,20.18,5.65,0.11,1.97,8.06,3.29,0.87,0.2,11.99,25.6,3.31,14.6,3.06,1.04,3.07,0.489,2.93,0.61,1.55,0.239,1.66,0.245,436,19.2,23.1,280,2.31,3.5,0.223,2.14,31.08
58.49,0.66,20.1,5.88,0.12,2.14,8.32,3.27,0.82,0.19,13.1,27.7,3.48,15.3,3.4,1.12,3.37,0.543,3.19,0.663,1.73,0.266,1.83,0.267,439,18.5,20.2,286,2.55,3.75,0.244,2.29,31.08
62.94,0.56,17.76,5.16,0.11,2.4,6.52,3.25,1.19,0.12,12.7,27.5,3.12,12.4,2.54,0.892,2.52,0.38,2.39,0.483,1.36,0.213,1.48,0.219,341,13.8,30.1,353,2.5,2.84,0.193,3.44,31.08
61.57,0.57,18.11,5.79,0.12,2.48,6.96,3.11,1.14,0.14,13.6,28.6,3.25,13.5,2.7,0.859,2.62,0.415,2.43,0.535,1.45,0.222,1.62,0.232,369,17.2,30.9,422,2.51,3.66,0.264,3.79,31.08
61.14,0.64,18.08,6.73,0.13,2.77,6.67,2.91,0.77,0.15,16.7,31.4,4.39,19,4.03,1.22,4.18,0.684,4.12,0.876,2.26,0.358,2.46,0.372,383,25.5,22,334,2.56,4.08,0.247,2.46,31.08
61.58,0.54,17.88,5.85,0.13,2.76,6.93,3.09,1.1,0.13,13.5,27.7,3.3,13.5,2.88,0.894,2.63,0.428,2.59,0.545,1.47,0.238,1.64,0.249,366,17.8,31.9,356,2.29,3.51,0.24,3.41,31.08
57.87,0.8,19.46,6.91,0.13,2.77,7.77,3.14,0.96,0.18,12.83,24.6,3.29,14.2,3.22,1.01,3.31,0.579,3.26,0.703,1.9,0.29,2.02,0.298,379,23.7,24.3,280,2.58,4.04,0.257,2.43,31.08
59.01,0.68,18.96,6.7,0.14,2.75,7.43,3.14,1.07,0.11,9.89,21.8,2.61,11.4,2.58,0.855,2.71,0.454,2.84,0.594,1.58,0.251,1.69,0.257,327,15.7,27,227,2.09,3.03,0.231,2.38,31.08
62.06,0.56,17.37,6.01,0.13,3,6.73,2.9,1.12,0.12,14.6,29.4,3.57,14.5,2.97,0.957,2.88,0.47,2.63,0.602,1.62,0.256,1.78,0.262,386,17.8,32.2,377,2.46,3.8,0.289,3.38,31.08
60.41,0.55,18.34,6.32,0.14,3.06,7.09,2.91,1.06,0.13,13.4,28,3.27,13.7,2.77,0.91,2.73,0.434,2.58,0.551,1.51,0.24,1.65,0.25,377,18,31.4,370,2.5,3.78,0.291,3.39,31.08
61.39,0.58,17.41,6.38,0.14,3.08,6.71,3.03,1.12,0.14,12.6,27.4,3.03,12.2,2.46,0.84,2.34,0.379,2.22,0.48,1.27,0.201,1.43,0.215,391,14.1,31,351,2.23,3.37,0.246,3.46,31.08
59.73,0.71,18.54,6.69,0.13,3.15,7.17,2.86,0.89,0.12,13.6,28.8,3.34,13.8,2.93,0.941,3.05,0.477,2.96,0.637,1.69,0.266,1.87,0.274,316,17.4,22.4,351,2.71,3.17,0.194,3.15,31.08
57.68,0.68,19.57,7.09,0.14,3.18,8.06,2.8,0.68,0.13,7.57,17.4,2.24,9.85,2.4,0.813,2.46,0.416,2.58,0.558,1.48,0.236,1.59,0.237,357,15.8,17.8,185,1.86,2.18,0.15,1.69,31.08
57.55,0.7,18.33,8.02,0.16,3.91,7.54,2.81,0.85,0.13,6.59,15.2,2.07,9.38,2.36,0.883,2.51,0.421,2.66,0.568,1.54,0.233,1.65,0.227,369,15.1,8.5,169,1.32,1.72,0.112,0.832,31.08
56.81,0.79,18.87,8.48,0.15,3.93,7.26,2.88,0.67,0.17,11.7,25.6,3.22,14.7,3.27,1.06,3.27,0.539,3.13,0.64,1.68,0.257,1.76,0.259,379,16.5,14.2,222,2.12,3.12,0.188,1.45,31.08
57.1,0.78,18.22,8.03,0.15,4.1,7.82,2.86,0.81,0.13,8.67,18.8,2.37,10.4,2.46,0.83,2.61,0.429,2.64,0.537,1.42,0.211,1.44,0.217,325,15.6,22,201,1.99,3.17,0.245,2.06,31.08
56.51,0.78,18.16,8.45,0.16,4.12,8.18,2.83,0.68,0.14,8.11,17.8,2.28,9.95,2.29,0.794,2.33,0.4,2.49,0.517,1.42,0.219,1.55,0.229,310,16.9,22.9,188,1.82,2.59,0.191,1.84,31.08
71.69,0.38,14.37,2.79,0.08,0.59,1.95,4.52,3.56,0.07,21.0536,44.155,5.55558,23.9351,6.62028,1.12111,6.70832,1.19734,7.83575,1.67367,4.88187,0.745876,4.82716,0.767921,126.364,45.589,80.4002,836.105,8.29989,7.30832,0.546485,7.90158,31.14
71.97,0.36,14.39,2.6,0.08,0.67,1.82,4.5,3.55,0.06,21.1496,43.9184,5.54696,24.1739,6.66379,1.1371,6.81982,1.18641,7.74045,1.6846,4.81867,0.74414,4.86786,0.781319,127.645,45.768,80.5292,834.744,8.33854,7.39485,0.557975,7.93207,31.14
71.8,0.38,14.34,2.77,0.08,0.61,1.86,4.57,3.53,0.07,21.5295,44.8501,5.72103,24.8263,6.7559,1.10316,6.96554,1.20824,7.92459,1.7031,4.88723,0.766927,4.92946,0.78503,122.258,46.6535,82.0305,845.46,8.49809,7.61961,0.563957,8.0978,31.14
65.05,0.94,15.98,4.73,0.17,1.23,3.79,5.32,2.48,0.31,23.49,51.27,7.08,29.81,7.66,1.99,7.56,1.2,7.47,1.54,4.45,0.69,4.52,0.72,300,45.7,61.41,772,6.38,14.77,0.95,4.649,31.34
70.32,0.53,15.18,2.73,0.15,1.96,0.53,3.02,5.47,0.11,27.04,53.73,6.83,30.19,7.83,2.05,8.02,1.33,8.3,1.74,4.91,0.74,4.66,0.78,223,49.4,66.2,854,6.9,15.08,1.01,5.53,31.34
70.27,0.52,15.18,2.61,0.15,1.97,0.63,2.97,5.58,0.11,26.76,54.56,6.93,30.25,7.87,2.08,8.05,1.35,8.39,1.76,4.95,0.75,4.69,0.78,223,49.8,66.2,849,6.93,15.18,1.03,5.53,31.34
69.71,0.55,15.33,2.74,0.15,2.11,0.72,2.91,5.66,0.12,26.58,53.57,6.71,29.93,7.9,2.07,7.9,1.34,8.15,1.72,4.85,0.72,4.65,0.76,228,48.3,64.3,826,6.83,14.82,1,5.37,31.34
69.17,0.69,14.88,3.65,0.16,2.26,0.69,3.11,5.24,0.14,27.54,55.52,6.97,30.55,8.09,2.03,8,1.41,8.93,1.84,5.29,0.79,5.02,0.82,206,50.2,72.5,881,7.4,16.03,1.09,6.97,31.34
68.93,0.73,14.99,3.72,0.16,2.31,0.74,3,5.23,0.16,28.03,56.08,7.03,31.36,8.29,2.06,8.48,1.4,8.87,1.84,5.19,0.79,4.95,0.81,207,50.7,69.7,855,7.37,16.03,1.11,5.69,31.34
67.61,0.85,15.27,3.94,0.17,2.85,1.07,2.76,5.24,0.22,26.67,54.04,6.89,30.91,8.3,2.19,8.47,1.4,8.7,1.82,5.08,0.77,4.74,0.77,259,51,64.9,806,6.81,15.34,1.04,5.17,31.34
67.55,0.83,15.49,3.75,0.15,2.85,1.1,2.98,5.1,0.21,27.74,55.38,7.07,31.54,8.35,2.08,8.37,1.39,8.79,1.83,5.16,0.76,4.9,0.8,231,50.5,71.8,837,7.43,16.86,1.16,5.97,31.34
67.36,0.85,15.44,4.08,0.17,2.88,1.01,2.74,5.25,0.22,26.67,54.28,6.93,30.91,8.25,2.19,8.38,1.42,8.79,1.81,5.11,0.76,4.79,0.78,260,50.1,62.5,807,6.84,15.29,1.06,5.41,31.34
68.36,0.71,15.51,3.59,0.15,3.03,0.86,2.65,4.95,0.18,23.77,46.41,5.79,24.75,6.43,1.75,6.82,1.16,7.21,1.5,4.31,0.64,4.11,0.65,264,41.7,64.7,786,6.17,13.44,0.93,6.13,31.34
59.57,1.31,16.46,6.99,0.2,6.01,2.7,1.65,4.56,0.56,19.89,41.09,5.35,24.55,6.72,2.09,6.81,1.13,6.75,1.42,3.76,0.56,3.36,0.55,441,37.4,36.2,533,3.95,9.47,0.66,3.12,31.34
56.83,0.84,17.64,7.39,0.16,4.16,7.24,3.22,2.31,0.21,23.5,45.6,5.06,19.9,4.01,1.19,3.88,0.539,3.13,0.624,1.63,0.248,1.65,0.26,351,18.8,70.3,366,1.91,4.59,0.418,12.34,31.35
71.77,0.34,14.69,2.9,0.06,0.67,2.84,3.26,3.41,0.06,20.59,41.2,4.74,17.99,3.92,0.82,3.85,0.64,4.13,0.91,2.63,0.43,2.81,0.44,155.14,26.67,96.16,639.5,4.26,4.86,0.48,10.93,31.38
71.61,0.31,15.14,2.63,0.07,0.67,2.91,3.68,2.92,0.05,18.16,37.71,4.27,16.36,3.46,0.77,3.5,0.64,3.77,0.83,2.45,0.42,2.64,0.41,164.75,24.8,92.97,682.3,4.08,4.96,0.49,9.4,31.38
70.99,0.33,15.71,2.74,0.07,0.69,2.95,3.67,2.79,0.05,19.19,39.58,4.53,16.6,3.76,0.78,3.94,0.67,4.16,0.87,2.65,0.42,2.79,0.43,164.7,24.71,91.13,675.7,4.25,5.38,0.49,10.31,31.38
55.36,0.98,19.17,8.74,0.17,2.53,8.78,3.26,0.82,0.19,7.39,16.42,2.25,10.95,3.5,1.22,3.94,0.7,4.6,0.97,2.76,0.4,2.55,0.41,321,25.73,15.7,282,2.25,2.7,0.18,1.46,31.39
64.04,0.9,16.39,5.97,0.13,1.46,4.35,3.31,3.15,0.3,23.2,47.1,5.68,21.4,4.52,1.05,4.64,0.71,4.19,0.84,2.66,0.4,2.65,0.42,301,35,117,538,5.1,13,0.6,19.25,31.39
62.94,0.67,16.39,5.37,0.13,2.16,6.04,3.02,3.11,0.18,15.9,33.1,4.27,17.9,4.28,1.31,4.38,0.71,4.16,0.84,2.53,0.36,2.33,0.34,319,24,113,438,2.7,8,0.3,5.8,31.39
58.01,0.8,19.02,6.05,0.12,2.27,8.17,3.62,1.68,0.25,13.7,31,4.47,19.7,4.97,1.59,4.88,0.72,3.98,0.75,2.14,0.3,1.93,0.28,417,24,44,332,1.8,8,0.1,3.01,31.39
64.25,0.62,15.9,4.98,0.12,2.36,5.08,3.37,3.17,0.15,23.3,48.4,5.74,22.3,4.76,1.49,5.17,0.76,4.37,0.94,2.56,0.42,2.55,0.42,278,21,118,437,3,9,0.4,7.04,31.39
62.14,0.72,16.54,5.82,0.13,2.57,6,3.03,2.89,0.16,22.1,43.6,5.12,19.8,4.58,1.47,4.73,0.75,4.53,1,2.82,0.44,2.77,0.44,306,22,103,424,2.7,8,0.4,9.46,31.39
57.22,0.9,18.93,6.59,0.15,2.59,8.63,2.84,1.85,0.31,25,54.8,6.74,26,5.44,1.6,5.56,0.83,4.55,0.99,2.66,0.41,2.5,0.4,493,27,59,332,3.5,9,0.5,9.06,31.39
61.73,0.67,16.61,5.58,0.13,2.71,6.3,3.35,2.75,0.16,22.7,47.8,5.44,19.7,4.26,1.17,4.52,0.71,3.98,0.86,2.45,0.38,2.4,0.39,303,21,96,389,4.3,7,0.6,17.45,31.39
62.64,0.7,15.79,5.94,0.14,3.09,5.21,3.24,3.06,0.18,21.9,44,5.96,24,5.53,1.45,5.61,0.88,5.07,0.99,3.04,0.45,2.88,0.43,260,21,113,415,3.1,9,0.4,9.46,31.39
58.45,0.98,17.48,7.36,0.14,3.24,7.1,2.7,2.33,0.21,24.3,49.2,5.9,22,4.7,1.15,4.58,0.71,4.16,0.85,2.6,0.39,2.64,0.4,379,25,84,369,5,7,0.6,18.75,31.39
58.78,0.9,17.05,7.48,0.15,3.31,6.98,2.88,2.23,0.23,24,50.4,5.75,20.4,4.36,1.04,4.6,0.71,3.91,0.87,2.44,0.38,2.44,0.38,382,22,74,344,4.7,7,0.8,18.9,31.39
58.34,0.94,17.33,7.24,0.13,3.53,7.03,2.95,2.31,0.21,20.6,44.5,5.42,21.2,4.79,1.38,4.85,0.77,4.4,0.95,2.61,0.39,2.47,0.4,370,23,82,372,3.7,7,0.5,12.75,31.39
55.9,0.93,18.33,7.73,0.16,4.04,8.27,2.85,1.55,0.22,33.7,68.3,8.36,30.9,6.65,1.62,6.84,1.05,5.97,1.28,3.59,0.54,3.52,0.55,393,25,39,318,5.8,7,0.9,16.25,31.39
56.19,1.1,16.33,10.12,0.21,3.84,7.92,3.31,0.78,0.2,8.04,17.83,2.48,12.02,3.73,1.28,4.07,0.76,4.92,1.06,2.9,0.43,2.69,0.43,292,27.09,15.1,283,2.23,2.45,0.16,0.94,31.67
64.03,0.35,18.84,2.94,0.09,2.21,4.7,4.67,1.9,0.27,50.37,68.7,7.31,21.83,2.83,0.875,1.78,0.279,1.41,0.278,0.77,0.104,0.7,0.103,1382,7.6,110,1060,1.47,33.9,1.986,23.91,31.76
58.82,0.47,18.01,5.86,0.12,3.69,7.99,3.16,1.64,0.23,9.97,19.7,2.33,9.22,2.1,0.672,2.01,0.352,1.87,0.455,1.17,0.204,1.25,0.199,403,12.5,57,387,1.21,3.9,0.394,4.06,31.76
58.71,0.51,18.47,5.5,0.12,3.82,7.98,2.92,1.68,0.28,16.45,31.4,3.56,13.42,2.77,0.772,2.47,0.442,2.36,0.57,1.49,0.26,1.58,0.253,399,15.9,76,513,1.14,7.6,0.619,8.06,31.76
58.23,0.5,18.09,6.14,0.13,3.98,7.88,3.11,1.68,0.24,10.2,21,2.48,9.85,2.13,0.635,2.14,0.336,2.05,0.437,1.3,0.211,1.39,0.224,401,13.5,58,415,1.15,4.1,0.363,3.33,31.76
58.94,0.57,18.26,5.32,0.13,4.19,7.63,2.77,1.86,0.34,20.9,37.4,4.55,17.01,3.45,0.993,3.03,0.547,2.92,0.714,1.88,0.34,2.12,0.347,404,19.4,89,631,1.48,9,0.542,8.93,31.76
57.71,0.57,18.68,5.64,0.11,4.74,8.05,2.64,1.64,0.22,17.61,28,3.99,15.51,3.09,0.87,3.21,0.486,2.97,0.636,1.85,0.295,1.88,0.301,296,21.4,78,475,1.56,6.6,0.419,5.42,31.76
57.72,0.56,17.58,5.8,0.12,4.86,8.68,2.75,1.73,0.21,14.65,27,3.32,12.9,2.8,0.836,2.65,0.482,2.62,0.638,1.65,0.288,1.74,0.276,321,17.9,80,444,1.53,6.8,0.641,6.9,31.76
69.36,0.98,6.66,5.37,0.06,3.18,12.83,0.5,0.89,0.18,58.4485,116.144,13.4501,51.2479,10.2193,3.18974,9.22751,1.26343,6.48457,1.14761,2.74645,0.369098,2.09753,0.285673,1075.46,31.4485,60.937,750.066,7.06576,72.1007,3.18441,8.55949,31.78
69.01,0.37,16.41,2.54,0.06,1.01,4.17,4.14,2.03,0.27,48,57,5.5,22.9,3.99,1.04,2.66,0.378,2.8,0.49,1.23,0.15,1.05,0.152,565,13,35,1550,3.06,12,0.535,8.51,33.34
71.68,0.25,15.23,2.44,0.05,0.67,2.88,3.69,2.98,0.13,90,80,6.9,23.4,3.45,0.841,2.7,0.234,1.7,0.3,0.92,0.0982,0.55,0.0922,550,3.1,43,3200,3.31,10,0.207,7.16,33.46
56.4,0.68,16.81,7.32,0.15,5.67,8.71,2.77,1.35,0.14,9.11,20.1,3.25,14.73,3.7,0.94,3.91,0.61,4.01,0.84,2.48,0.36,2.31,0.36,408,23,23,439,2.76,1.5,0.1,1.91,33.47
60.81,1.09,16.47,5.8,0.13,2.83,5.4,4.27,2.83,0.36,19.53,44.11,5.61,22.94,5.07,1.4,5.06,0.74,4.58,0.94,2.78,0.41,2.77,0.43,449,24,41,838,5.32,10.4,0.66,4.32,33.51
60.91,1.04,16.94,5.63,0.13,2.45,5.43,4.67,2.37,0.43,17.62,39.16,5.2,21.56,4.82,1.37,4.5,0.67,4.11,0.84,2.44,0.36,2.34,0.36,499,24,30,856,4.86,10.9,0.71,3.11,33.56
56.24,1.54,16.06,8.55,0.14,3.46,9.2,3.35,1.18,0.28,5.51,13.8,2,9.33,2.44,0.819,2.52,0.404,2.5,0.513,1.42,0.209,1.4,0.206,450,13.3,3.89,95.3,1.59,1.86,0.107,0.867,33.67
62.05,0.53,17.67,4.29,0.1,3.13,5.67,4.87,1.5,0.19,12,25.6,3.36,13.8,3.06,0.95,2.71,0.41,2.34,0.47,1.27,0.19,1.15,0.18,585,12.1,28,531,3.09,2.58,0.18,2.69,33.69
55.09,1.03,18.3,7.39,0.14,4.29,8.21,3.54,1.7,0.31,13.62,32.82,4.5,19.33,4.25,1.28,4,0.58,3.44,0.69,1.96,0.27,1.79,0.27,671,18,26,721,3.2,3.4,0.21,2.03,34.34
61.99,0.71,17.05,5.27,0.11,2.86,5.98,3.74,2.06,0.24,14.55,33.18,4.31,17.68,3.83,1.08,3.66,0.54,3.33,0.66,1.96,0.28,1.83,0.29,567,17,36,865,3.16,4.1,0.29,3.25,34.63
58.51,0.82,17.45,6.19,0.11,4.41,6.43,4.3,1.48,0.3,18,35.22,4.25,18.23,4.25,1.3,3.54,0.61,3.54,0.7,1.88,0.27,1.62,0.26,536,18.4,21,469,3.73,7.14,0.48,1.76,34.64
55.85,0.97,17.84,6.97,0.12,5.35,7,4.35,1.22,0.33,16.26,32.46,4.02,17.73,4.2,1.37,3.75,0.63,3.75,0.74,1.98,0.28,1.78,0.28,613,19.87,15.6,365,3.39,8.23,0.53,1.51,34.64
55.66,1.03,17.48,7.08,0.13,5.66,6.94,4.33,1.33,0.36,19.02,37.46,4.67,19.63,4.67,1.49,4.07,0.68,4.07,0.82,2.14,0.3,1.93,0.3,592,21.64,17,396,3.95,10.04,0.67,1.78,34.64
59.85,0.78,17.2,5.94,0.12,3.46,6.79,3.61,1.94,0.3,14.34,33.8,4.38,18.42,3.94,1.12,3.86,0.55,3.34,0.67,1.94,0.28,1.82,0.29,592,18,25,809,3.36,5.1,0.34,2.35,34.67
65.23,0.61,16.96,3.08,0.06,1.56,4.33,4.98,3.04,0.16,20,34,3.9,16,2.8,0.8,2.4,0.3,1.6,0.3,0.8,0.1,0.7,0.1,884,9.8,47,1700,3.9,5.5,0.4,2.1,34.69
65.23,0.61,16.96,3.08,0.06,1.56,4.33,4.98,3.04,0.16,20,34,3.9,16,2.8,0.8,2.4,0.3,1.6,0.3,0.8,0.1,0.7,0.1,884,9.8,47,1700,3.9,5.5,0.4,2.1,34.69
66.12,0.59,16.76,3.06,0.04,1.72,4.14,4.68,2.68,0.22,18,35,4,16,2.9,0.8,2.1,0.3,1.6,0.3,0.8,0.1,0.7,0.1,1168,9,46,1507,3.7,5,0.3,2.2,34.71
66.12,0.59,16.76,3.06,0.04,1.72,4.14,4.68,2.68,0.22,18,35,4,16,2.9,0.8,2.1,0.3,1.6,0.3,0.8,0.1,0.7,0.1,1168,9,46,1507,3.7,5,0.3,2.2,34.71
66.15,0.61,16.86,3.17,0.05,1.38,4.14,4.69,2.75,0.2,20,35,4.4,18,3.3,0.8,2.6,0.4,1.8,0.3,1,0.1,0.8,0.1,1232,12,47,1650,3.8,6,0.3,1.9,34.71
66.15,0.61,16.86,3.17,0.05,1.38,4.14,4.69,2.75,0.2,20,35,4.4,18,3.3,0.8,2.6,0.4,1.8,0.3,1,0.1,0.8,0.1,1232,12,47,1650,3.8,6,0.3,1.9,34.71
56.32,0.97,18.07,7.01,0.14,4.08,7.87,3.63,1.57,0.34,13.94,33.32,4.56,19.76,4.4,1.34,4.29,0.61,3.75,0.75,2.16,0.31,2,0.31,682,19,19,687,3.13,5.1,0.33,1.49,34.76
60.02,0.71,17.18,5.71,0.11,3.66,6.48,3.6,2.32,0.21,13.4,31.26,4.12,17.01,3.63,0.98,3.35,0.5,2.99,0.6,1.77,0.26,1.7,0.27,644,16,47,746,2.96,4.2,0.31,4.3,34.84
57.61,0.86,17.52,6.82,0.14,4.26,7.58,3.37,1.54,0.29,13.74,32.34,4.41,18.88,4.25,1.24,4.17,0.61,3.8,0.76,2.22,0.32,2.08,0.32,589,20,21,748,3.21,4.3,0.25,1.44,34.91
64.53,0.65,16.12,4.28,0.09,2.19,4.53,4.02,3.37,0.22,50.7,91.1,9.86,33.5,5.9,1.34,4.4,0.6,3.4,0.7,1.9,0.29,2,0.32,610,19,82,1221,5.6,23,1.4,15.9,34.94
58.89,0.92,16.8,6.05,0.12,3.79,6.92,3.79,2.38,0.35,38.6,72.9,8.13,30.8,5.3,1.32,4,0.6,3.2,0.6,1.7,0.25,1.6,0.28,743,19,48,901,3.9,18,1,9.4,34.94
58.37,0.84,17.92,5.92,0.1,4.17,7.05,3.96,1.41,0.25,23,43.6,5.15,20.5,3.9,1.17,3,0.4,2.3,0.4,1.1,0.16,1,0.17,902,11,26,785,2.3,8,0.4,3.1,34.94
58.04,0.85,17.84,6.07,0.1,4.24,7.28,3.93,1.4,0.26,23.6,44.8,5.29,21.4,3.9,1.12,3.1,0.4,2.4,0.4,1.1,0.17,1.1,0.17,925,12,25,784,2.4,8,0.4,3.3,34.94
60.92,1.09,17.19,5.62,0.1,3.07,4.7,4.98,2.08,0.24,16.3,35.2,4.38,17.4,3.92,1.14,3.76,0.62,3.72,0.76,2.13,0.32,2.12,0.32,345,22.1,36.8,360,4.21,12.1,0.74,4.29,35
58.16,1.37,17.02,6.49,0.11,3.86,5.89,5.02,1.76,0.3,16,35,4.44,18.2,4.24,1.3,4.19,0.69,4.18,0.83,2.33,0.34,2.26,0.34,398,23.5,25,299,4.31,13.1,0.79,3.44,35.03
64.17,0.7,17.42,3.93,0.07,2.26,4.35,5.06,1.86,0.17,12.7,27.1,3.33,13.2,2.92,0.84,2.72,0.44,2.62,0.52,1.47,0.22,1.48,0.23,474,15.6,31.8,358,3.96,6.97,0.44,3.63,35.03
57.69,0.85,17.79,6.52,0.13,3.94,7.51,3.55,1.68,0.33,14.74,34.92,4.7,19.97,4.35,1.25,4.18,0.61,3.68,0.74,2.12,0.3,2,0.31,651,20,23,758,3.41,5,0.3,1.52,35.07
61.95,0.95,17.96,4.69,0.08,2.51,5.18,4.7,1.75,0.22,13.6,28.7,3.55,14.3,3.26,1.01,3.18,0.52,3.09,0.62,1.72,0.25,1.65,0.25,356,18.1,38.3,411,3.39,7.68,0.48,4.06,35.07
62.12,0.66,17.06,5,0.1,2.8,5.71,3.76,2.6,0.18,12.27,29.62,3.72,15.06,3.32,0.87,3.1,0.47,2.88,0.59,1.74,0.25,1.72,0.28,493,17,52,759,3.58,3.2,0.267,4.75,35.09
55.98,1.73,18.03,8.19,0.14,3.13,5.72,5.17,1.56,0.35,16.4,37.2,4.98,21.2,5.15,1.62,5.14,0.85,5.16,1.03,2.86,0.41,2.69,0.4,394,29.7,24.9,310,4.2,13.4,0.76,2.84,35.11
56.99,1.42,17.92,6.85,0.12,4.1,6.1,4.73,1.47,0.3,16.2,35,4.48,18.3,4.27,1.31,4.16,0.69,4.14,0.82,2.29,0.33,2.23,0.33,420,23.9,17.5,319,4.23,13.2,0.79,3.47,35.11
73.01,0.29,14.73,1.8,0.06,0.33,0.87,5.1,3.75,0.06,24.37,43.87,4.66,16.85,3.34,0.67,2.78,0.48,3.13,0.68,2.13,0.35,2.46,0.41,108,19.27,81.7,835,6.75,13.57,1.09,9.2,35.37
65.04,0.86,16.4,4.51,0.12,1.55,3,5.42,2.86,0.24,26.85,53.41,6.31,25.65,5.94,1.61,5.53,0.93,5.72,1.21,3.42,0.52,3.28,0.52,321,32.62,65,639,6.36,10.53,0.73,6.44,35.44
55.96,1.12,18.17,6.49,0.13,4.81,7.26,3.51,2.23,0.31,19.61,39.69,4.97,21.07,4.84,1.45,4.53,0.72,4.3,0.86,2.35,0.34,2.13,0.34,710,23.06,44.6,465,4.17,6.93,0.44,3.47,35.46
59.36,0.84,17.44,5.59,0.1,4.13,6.65,3.5,2.18,0.21,17.84,35.88,4.29,17.76,4.1,1.2,3.75,0.59,3.56,0.73,1.97,0.3,1.9,0.3,552,19.47,39.4,503,4.06,6.19,0.45,4.69,35.46
59.91,0.92,17.68,5.49,0.11,3.43,5.82,4.12,2.26,0.26,18.52,36.31,4.46,18.71,4.36,1.27,4.06,0.65,3.88,0.81,2.16,0.32,1.99,0.32,609,21.51,44.4,522,4.05,6.78,0.47,3.75,35.46
63.03,0.82,17.53,5.57,0.1,1.6,3.51,5.45,2.01,0.39,19.3,39.6,4.95,18.9,3.91,1.27,3.73,0.6,3.5,0.69,1.94,0.29,1.96,0.29,382,22.1,28,342,4.66,13.7,0.82,3.51,35.46
67.07,0.7,16.69,3.23,0.09,1.15,2.67,5.26,2.93,0.21,27.21,50.35,6,23.37,5.1,1.38,4.62,0.76,4.61,0.95,2.66,0.42,2.67,0.42,343,25.5,62.3,754,6.33,11.95,0.88,6.88,35.51
68.68,0.61,15.97,2.89,0.09,0.93,2.27,5.37,3.03,0.16,27.84,52.62,6.04,23.37,5.22,1.31,4.77,0.81,5.01,1.04,2.93,0.45,2.91,0.46,276,28.18,65.5,769,6.89,12.76,0.93,7.57,35.51
62.32,0.99,17.47,4.89,0.11,2.25,5.34,3.52,2.8,0.31,24.87,47.51,5.58,22.25,5.21,1.45,4.8,0.76,4.61,0.94,2.54,0.38,2.37,0.38,566,25.02,59.6,734,5.23,9.68,0.69,6.01,35.53
56.54,1.14,15.92,6.46,0.09,5.79,6.26,4.75,2.73,0.32,53,84,13,51,8.7,2.3,7.1,0.9,4.2,0.7,2,0.3,1.4,0.2,1759,21,36,1611,4.6,9,0.4,2.8,35.55
56.54,1.14,15.92,6.46,0.09,5.79,6.26,4.75,2.73,0.32,53,84,13,51,8.7,2.3,7.1,0.9,4.2,0.7,2,0.3,1.4,0.2,1759,21,36,1611,4.6,9,0.4,2.8,35.55
55.9,1.55,17.45,7.06,0.15,3.2,6.08,5.02,3.11,0.49,32.4,67.8,8.21,33.5,7,2,6.5,1,5.5,1.1,3.1,0.46,3,0.52,537,30,79,559,8,46,3.3,12.7,35.55
